//# type width height xCord yCord
1 battle 100 48 127 230
2 battle 114 48 189 474
3 question 106 48 316 264
4 question 107 48 364 629
5 dice 91 48 452 104
6 dice 120 35 465 758
7 dice 97 48 550 350
8 battle 99 48 626 635
9 battle 102 48 641 193
10 question 97 48 749 51
11 question 95 48 795 501
12 question 96 48 895 179
13 dice 103 48 959 376
14 dice 97 48 1071 157
15 battle 106 48 1126 482
16 battle 90 48 1290 70
17 question 108 48 1251 637
18 question 114 48 1487 148
19 battle 100 48 1362 340
20 question 92 48 1656 312
21 battle 86 48 1534 503
22 faceoff 146 48 1705 112
